b_code,b_name,b_type,b_gudok,b_author,b_publish,b_page,b_price,b_cdate,b_rdate,b_bookcover,b_coversize,b_des
114882916,오 윌리엄! [ 양장 ],novel,Y,엘리자베스 스트라우트 저/정연희 역,문학동네,365,14400 ,2022-12-07,2019-10-21,http://image.yes24.com/goods/114882916/L,0,책설명
114670984,사라지지 않는다,novel,Y,클라라 뒤퐁-모노 저/이정은 역,필름,365,13500 ,2022-12-07,2019-10-22,http://image.yes24.com/goods/114670984/L,0,책설명
109580345,세월 [ 개정판 ],novel,Y,아니 에르노 저/신유진 역,1984Books(일구팔사북스),365,13950 ,2022-12-07,2019-10-23,http://image.yes24.com/goods/109580345/L,0,책설명
107072836,백광,novel,Y,렌죠 미키히코 저/양윤옥 역,모모,365,13050 ,2022-12-07,2019-10-24,http://image.yes24.com/goods/107072836/L,0,책설명
106544854,百의 그림자 [ 양장 개정판 ],novel,Y,황정은 저,창비,365,13500 ,2022-12-07,2019-10-25,http://image.yes24.com/goods/106544854/L,0,책설명
101963278,고구려 7 고국양왕 : 동백과 한란 [ 양장 ],novel,Y,김진명 저,이타북스,365,14220 ,2022-12-07,2019-10-26,http://image.yes24.com/goods/101963278/L,0,책설명
101758671,문명 1 [ 양장 ],novel,Y,베르나르 베르베르 저/전미연 역,열린책들,365,13320 ,2022-12-07,2019-10-27,http://image.yes24.com/goods/101758671/L,0,책설명
89240946,이문열 삼국지 세트 (특별 한정 보급판) [ 전10권+인물도록1권 개정판 ],novel,Y,나관중 저/이문열 평역,알에이치코리아(RHK),365,108000 ,2022-12-07,2019-10-28,http://image.yes24.com/goods/89240946/L,0,책설명
50314048,바다는 잘 있습니다,novel,Y,이병률 저,문학과지성사,365,10800 ,2022-12-07,2019-10-29,http://image.yes24.com/goods/50314048/L,0,책설명
42798224,바깥은 여름,novel,Y,김애란 저,문학동네,365,11700 ,2022-12-07,2019-10-30,http://image.yes24.com/goods/42798224/L,0,책설명
172368,고도를 기다리며 1969년도 노벨문학상 수상작,novel,Y,사무엘 베케트 저,민음사,365,6300 ,2022-12-07,2019-10-31,http://image.yes24.com/goods/172368/L,0,책설명
141729,난장이가 쏘아올린 작은 공,novel,Y,조세희 저,이성과 힘,365,9900 ,2022-12-07,2019-11-01,http://image.yes24.com/goods/141729/L,0,책설명
68582,입 속의 검은 잎,novel,Y,기형도 저,문학과지성사,365,8100 ,2022-12-07,2019-11-02,http://image.yes24.com/goods/68582/L,0,책설명
64337,그 여름의 끝,novel,Y,이성복 저,문학과지성사,365,10800 ,2022-12-07,2019-11-03,http://image.yes24.com/goods/64337/L,0,책설명
108737003,여덟 건의 완벽한 살인,novel,Y,피터 스완슨 저/노진선 역,푸른숲,365,14220 ,2022-12-07,2019-11-04,http://image.yes24.com/goods/108737003/L,0,책설명
